workload,run_id,duration_sec,metric,samples,mean_pct,p95_pct
debate_allgather_pressure_meso,ascend_bottleneck_r1_20260824_082938_31121,25.82512378692627,hbm_bandwidth_util_pct,20,59.7,74.0
debate_allgather_pressure_meso,ascend_bottleneck_r1_20260824_092545_10930,25.114670038223267,ai_core_util_pct,20,95.05,100.0
debate_allgather_pressure_meso,ascend_bottleneck_r1_20260824_092545_10930,25.114670038223267,ai_cube_util_pct,20,80.1,81.05
debate_allgather_pressure_meso,ascend_bottleneck_r1_20260824_092545_10930,25.114670038223267,hbm_bandwidth_util_pct,20,69.15,75.0
debate_allgather_pressure_meso,ascend_bottleneck_r2_20260824_092938_8043,25.493276834487915,ai_core_util_pct,20,93.85,100.0
debate_allgather_pressure_meso,ascend_bottleneck_r2_20260824_092938_8043,25.493276834487915,ai_cube_util_pct,20,80.3,81.0
debate_allgather_pressure_meso,ascend_bottleneck_r2_20260824_092938_8043,25.493276834487915,hbm_bandwidth_util_pct,20,69.75,73.05
shared_memory_fanin_meso,ascend_bottleneck_r1_20260824_083015_22263,21.443671464920044,ai_core_util_pct,17,91.47058823529412,95.19999999999999
shared_memory_fanin_meso,ascend_bottleneck_r1_20260824_083015_22263,21.443671464920044,ai_cube_util_pct,17,80.11764705882354,81.4
shared_memory_fanin_meso,ascend_bottleneck_r1_20260824_083015_22263,21.443671464920044,hbm_bandwidth_util_pct,17,73.3529411764706,76.0
shared_memory_fanin_meso,ascend_bottleneck_r1_20260824_092621_15182,21.243524074554443,ai_core_util_pct,17,91.11764705882354,94.2
shared_memory_fanin_meso,ascend_bottleneck_r1_20260824_092621_15182,21.243524074554443,ai_cube_util_pct,17,74.88235294117646,81.0
shared_memory_fanin_meso,ascend_bottleneck_r1_20260824_092621_15182,21.243524074554443,hbm_bandwidth_util_pct,17,70.52941176470588,75.0
shared_memory_fanin_meso,ascend_bottleneck_r2_20260824_093015_7586,21.19629979133606,ai_core_util_pct,17,90.94117647058823,95.0
shared_memory_fanin_meso,ascend_bottleneck_r2_20260824_093015_7586,21.19629979133606,ai_cube_util_pct,17,76.94117647058823,81.0
shared_memory_fanin_meso,ascend_bottleneck_r2_20260824_093015_7586,21.19629979133606,hbm_bandwidth_util_pct,17,69.11764705882354,76.0
retry_debug_loop,ascend_bottleneck_r1_20260824_083047_30020,18.26575803756714,ai_core_util_pct,15,86.86666666666666,94.0
retry_debug_loop,ascend_bottleneck_r1_20260824_083047_30020,18.26575803756714,ai_cube_util_pct,15,75.0,81.0
retry_debug_loop,ascend_bottleneck_r1_20260824_083047_30020,18.26575803756714,hbm_bandwidth_util_pct,15,65.13333333333334,74.0
retry_debug_loop,ascend_bottleneck_r1_20260824_092654_27062,17.773563861846924,ai_core_util_pct,14,93.0,94.0
retry_debug_loop,ascend_bottleneck_r1_20260824_092654_27062,17.773563861846924,ai_cube_util_pct,14,80.57142857142857,81.0
retry_debug_loop,ascend_bottleneck_r1_20260824_092654_27062,17.773563861846924,hbm_bandwidth_util_pct,14,66.35714285714286,74.0
retry_debug_loop,ascend_bottleneck_r2_20260824_093047_27724,17.47786045074463,ai_core_util_pct,14,92.85714285714286,94.0
retry_debug_loop,ascend_bottleneck_r2_20260824_093047_27724,17.47786045074463,ai_cube_util_pct,14,73.14285714285714,80.35
retry_debug_loop,ascend_bottleneck_r2_20260824_093047_27724,17.47786045074463,hbm_bandwidth_util_pct,14,68.0,74.0
hierarchical_synthesis_pressure_meso,ascend_bottleneck_r1_20260824_083116_14653,14.760010957717896,ai_core_util_pct,12,89.16666666666667,94.45
hierarchical_synthesis_pressure_meso,ascend_bottleneck_r1_20260824_083116_14653,14.760010957717896,ai_cube_util_pct,12,80.25,81.0
hierarchical_synthesis_pressure_meso,ascend_bottleneck_r1_20260824_083116_14653,14.760010957717896,hbm_bandwidth_util_pct,12,65.58333333333333,75.0
hierarchical_synthesis_pressure_meso,ascend_bottleneck_r1_20260824_092724_21826,14.501782178878784,ai_core_util_pct,11,90.27272727272727,94.5
hierarchical_synthesis_pressure_meso,ascend_bottleneck_r1_20260824_092724_21826,14.501782178878784,ai_cube_util_pct,11,79.18181818181819,81.0
hierarchical_synthesis_pressure_meso,ascend_bottleneck_r1_20260824_092724_21826,14.501782178878784,hbm_bandwidth_util_pct,11,72.63636363636364,75.0
hierarchical_synthesis_pressure_meso,ascend_bottleneck_r2_20260824_093116_3015,14.542442798614502,ai_core_util_pct,11,90.36363636363636,94.5
hierarchical_synthesis_pressure_meso,ascend_bottleneck_r2_20260824_093116_3015,14.542442798614502,ai_cube_util_pct,11,79.9090909090909,80.5
hierarchical_synthesis_pressure_meso,ascend_bottleneck_r2_20260824_093116_3015,14.542442798614502,hbm_bandwidth_util_pct,11,66.18181818181819,75.0
issue_to_patch_workflow,ascend_bottleneck_r1_20260824_083144_28373,35.484095335006714,ai_core_util_pct,28,89.89285714285714,98.0
issue_to_patch_workflow,ascend_bottleneck_r1_20260824_083144_28373,35.484095335006714,ai_cube_util_pct,28,80.03571428571429,80.0
issue_to_patch_workflow,ascend_bottleneck_r1_20260824_083144_28373,35.484095335006714,hbm_bandwidth_util_pct,28,68.71428571428571,75.65
issue_to_patch_workflow,ascend_bottleneck_r1_20260824_092750_3178,34.968674182891846,ai_core_util_pct,28,86.92857142857143,98.0
issue_to_patch_workflow,ascend_bottleneck_r1_20260824_092750_3178,34.968674182891846,ai_cube_util_pct,28,77.0,81.0
issue_to_patch_workflow,ascend_bottleneck_r1_20260824_092750_3178,34.968674182891846,hbm_bandwidth_util_pct,28,66.85714285714286,75.0
issue_to_patch_workflow,ascend_bottleneck_r2_20260824_093141_18758,35.25015068054199,ai_core_util_pct,28,88.75,97.0
issue_to_patch_workflow,ascend_bottleneck_r2_20260824_093141_18758,35.25015068054199,ai_cube_util_pct,28,79.57142857142857,80.0
issue_to_patch_workflow,ascend_bottleneck_r2_20260824_093141_18758,35.25015068054199,hbm_bandwidth_util_pct,28,67.75,75.0
